disease,n_in_window,n_promoted,n_demoted,n_unchanged,promo_rate,demo_rate,net,net_rate,mean_promo_delta,mean_demo_delta
Macular dystrophy with or without cone dysfunction,7,0,0,7,0.0,0.0,0,0.0,0,0
"Intellectual developmental disorder, X-linked syndromic 37",19,0,0,19,0.0,0.0,0,0.0,0,0
"Muscular dystrophy, limb-girdle, autosomal recessive 29",23,0,0,23,0.0,0.0,0,0.0,0,0
Developmental and epileptic encephalopathy 115,4,0,0,4,0.0,0.0,0,0.0,0,0
Neurodevelopmental disorder plus optic atrophy,4,0,0,4,0.0,0.0,0,0.0,0,0
"Ehlers-Danlos syndrome, classic-like, 3",3,0,0,3,0.0,0.0,0,0.0,0,0
"Basal ganglia calcification, idiopathic, 9, autosomal recessive",10,0,0,10,0.0,0.0,0,0.0,0,0
Immunodeficiency 121 with autoinflammation,6,0,0,6,0.0,0.0,0,0.0,0,0
"Neuronopathy, distal hereditary motor, autosomal recessive 11, with spasticity",13,0,0,13,0.0,0.0,0,0.0,0,0
Developmental and epileptic encephalopathy 116,8,0,0,8,0.0,0.0,0,0.0,0,0
ReNU syndrome,60,0,0,60,0.0,0.0,0,0.0,0,0
"Intellectual developmental disorder, X-linked 114",8,0,0,8,0.0,0.0,0,0.0,0,0
Wolfram syndrome 1,9,0,0,9,0.0,0.0,0,0.0,0,0
"Ectopia lentis, familial",24,0,1,23,0.0,0.0417,-1,-0.0417,0,1.0
"Spastic paraplegia 93, autosomal recessive",21,0,1,20,0.0,0.0476,-1,-0.0476,0,1.0
Multiple congenital anomalies-hypotonia-seizures syndrome 2,20,0,1,19,0.0,0.05,-1,-0.05,0,1.0
Noonan syndrome 2,34,0,2,32,0.0,0.0588,-2,-0.0588,0,1.0
Multiple mitochondrial dysfunctions syndrome 7,9,0,1,8,0.0,0.1111,-1,-0.1111,0,1.0
"Myasthenic syndrome, congenital, 9, associated with acetylcholine receptor deficiency",8,0,1,7,0.0,0.125,-1,-0.125,0,1.0
"Acrofacial dysostosis 1, Nager type",24,0,3,21,0.0,0.125,-3,-0.125,0,1.0
"Spastic paraplegia 78, autosomal recessive",8,0,1,7,0.0,0.125,-1,-0.125,0,1.0
"Cutis laxa, autosomal recessive, type ID",4,0,1,3,0.0,0.25,-1,-0.25,0,1.0
Aarskog-Scott syndrome,48,1,15,32,0.0208,0.3125,-14,-0.2917,1.0,1.0
"Cutis laxa, autosomal recessive, type IA",3,0,1,2,0.0,0.3333,-1,-0.3333,0,1.0
"Spondyloepimetaphyseal dysplasia, Guo-Campeau type",5,0,2,3,0.0,0.4,-2,-0.4,0,1.0
Citrullinemia,4,0,2,2,0.0,0.5,-2,-0.5,0,1.0
